datetimeUtc,humidity_pct,pm03_count,pm25,temperature_c,pm25_lag_1h,pm25_lag_3h,pm25_lag_6h,pm25_lag_12h,pm25_lag_24h,pm25_lag_48h,pm25_rolling_mean_6h,pm25_rolling_mean_12h,pm25_rolling_mean_24h,pm25_rolling_mean_48h,hour,day_of_week,month,target_pm25_next24h_avg
2025-12-25 18:00:00+00:00,44.42083342870077,5900.0,171.15000025431314,8.34583330154419,168.9375025431315,103.97083377838136,58.94166612625122,127.15416844685872,129.52083460489908,56.112499713897705,117.07986193233064,107.95798680517407,106.99218807617824,91.69852474331856,18,3,12,83.26472540445602
2025-12-25 19:00:00+00:00,45.41249990463257,6299.833333333333,184.2791652679444,8.075000186761221,171.15000025431314,156.49583435058594,82.22500006357829,133.62916787465414,133.0791654586792,57.89166641235352,135.78125095367432,111.62430612246196,108.72673664490382,94.09513933791055,19,3,12,78.59701712675367
2025-12-25 20:00:00+00:00,44.80833339691162,7482.333333333333,224.9708334604899,8.283333341280619,184.2791652679444,168.9375025431315,131.90833473205566,100.5208339691162,114.3375015258789,58.69583288828532,152.79027848773532,115.84513923856947,110.86006997028987,96.72821223073537,20,3,12,71.0916351783356
2025-12-25 21:00:00+00:00,44.26249980926514,6109.833333333333,175.37916819254556,8.300000071525574,224.9708334604899,171.15000025431314,103.97083377838136,84.59583346048991,100.14583365122478,58.520833015441895,168.30069494247437,126.21597252951729,115.46979213423201,100.19227474265627,21,3,12,65.28208649735458
2025-12-25 22:00:00+00:00,45.245833237965904,4712.125,134.12916660308838,7.8541666467984514,175.37916819254556,184.2791652679444,156.49583435058594,84.74583307902019,108.2666670481364,59.616666634877525,180.20208401150174,133.78125042385525,118.60451440678702,102.62682339217928,22,3,12,60.32288510349864
2025-12-25 23:00:00+00:00,43.51666704813639,4498.333333333333,127.1666669845581,8.824999928474426,134.12916660308838,224.9708334604899,168.9375025431315,62.370833237965904,83.07916768391927,63.25000095367432,176.47430605358548,137.8965282175276,119.68211855491002,104.179167141517,23,3,12,55.6350378667064
2025-12-26 00:00:00+00:00,43.179166634877525,2716.583333333333,73.70416673024495,9.195833285649618,127.1666669845581,175.37916819254556,171.15000025431314,58.94166612625122,66.05000098546346,65.15833330154419,169.51250012715658,143.29618102974362,121.51909769243663,105.51076435049374,0,4,12,53.76229480651492
2025-12-26 01:00:00+00:00,40.88750007417467,1562.7916666666667,48.20000007417466,9.684722198380364,73.70416673024495,134.12916660308838,184.2791652679444,82.22500006357829,78.57500012715657,66.00000079472859,153.2715278731452,144.52638941340976,121.83802126513588,105.688802546925,1,4,12,53.165246201585035
2025-12-26 02:00:00+00:00,37.18181818181818,672.0454545454545,20.11818155375394,10.454545497894289,48.20000007417466,127.1666669845581,224.9708334604899,131.90833473205566,102.55416711171468,64.54583326975505,130.59166700751692,141.69097274762612,120.5723962629283,105.31796919858014,2,4,12,53.79950021312695
2025-12-26 03:00:00+00:00,37.84166701634725,1122.6666666666667,36.13333288828532,10.508333365122477,20.11818155375394,73.70416673024495,175.37916819254556,103.97083377838136,113.50833415985107,65.17500098546346,96.44955835639428,132.37512664943432,117.13756353134659,104.39239312116347,3,4,12,53.63647939370136
2025-12-26 04:00:00+00:00,40.02500041325887,1616.375,47.16250038146973,10.370833277702332,36.13333288828532,48.20000007417466,134.12916660308838,156.49583435058594,120.59166653951009,65.97500038146973,73.24191913901755,126.72200157525964,113.91360514503134,103.78735836913891,4,4,12,53.072764101353556
2025-12-26 05:00:00+00:00,38.84999974568685,2787.9166666666665,69.34583330154419,11.045833269755043,47.16250038146973,20.11818155375394,127.1666669845581,168.9375025431315,122.60833326975504,68.80833339691162,58.747474768747786,117.61089041116662,110.854056555113,103.39543128580557,5,4,12,51.67779880370756
2025-12-26 06:00:00+00:00,33.666666666666664,3821.5,87.31250095367432,14.516666611035664,69.34583330154419,36.13333288828532,73.70416673024495,171.15000025431314,127.15416844685872,70.35000133514404,49.11066915491213,109.31158464103436,108.6347857231042,103.40662920048543,6,4,12,49.50713902982798
2025-12-26 07:00:00+00:00,30.87083339691162,2169.6666666666665,53.54583358764648,15.020833253860474,87.31250095367432,47.16250038146973,48.20000007417466,184.2791652679444,133.62916787465414,67.1708329518636,51.37872485881703,102.32512636598112,106.97471624422154,103.7600146092048,7,4,12,48.8984584570533
2025-12-26 08:00:00+00:00,31.483333667119343,1827.4583333333333,46.66666682561239,14.40833330154419,53.54583358764648,69.34583330154419,20.11818155375394,224.9708334604899,100.5208339691162,62.43750015894572,52.26969711106233,91.43068205928962,103.63791064892955,103.4761604557836,8,4,12,48.84793761974634
